word1,word2,sim
телевидению,фильму,0.555556
берегу,лесу,0.259259
автомобиль,машина,0.958333
меньшинств,миров,0.090909
боксе,раунде,0.555556
регистрации,расположении,0.166667
поездкой,машиной,0.541667
берегам,лесам,0.259259
машина,полет,0.000000
психологией,дисциплиной,0.625000
объявление,предупреждение,0.625000
планета,солнце,0.518519
физики,химии,0.487179
смерть,заключенный,0.041667
мексика,бразилия,0.666667
доктором,ответственностью,0.291667
компаниями,фондами,0.625000
потребителю,энергии,0.333333
запасах,жизни,0.074074
проблемы,вызова,0.375000
линии,страхования,0.000000
прецеденты,информации,0.186275
игру,команду,0.428571
прецеденты,права,0.533333
телефона,оборудования,0.416667
семья,планирование,0.277778
больница,инфраструктура,0.380952
наркотиком,злоупотреблением,0.533333
мужчине,губернатору,0.133333
иерусалим,израиль,0.622222
фондами,телефонами,0.060606
холм,лесопарк,0.208333
награда,мужество,0.458333
психологии,страхе,0.375000
начал,матчей,0.242424
ориентиров,индексов,0.041667
автомобилю,машине,0.958333
планетой,звездой,0.619048
чашкам,предметам,0.428571
шнуре,веревке,0.888889
журналом,ассоциацией,0.087719
школы,центра,0.166667
омаре,еде,0.708333
театром,историей,0.266667
новость,сообщение,0.666667
население,развитие,0.047619
поездки,машины,0.541667
опер,отраслей,0.041667
арафатом,миром,0.076923
роскошь,автомобиль,0.208333
психологии,познания,0.291667
президента,медали,0.102564
психологию,доктора,0.291667
возможности,девушек,0.105263
арафат,терроризм,0.428571
марса,воды,0.090909
слово,сходство,0.111111
планеты,звезд,0.619048
еда,петушок,0.270833
игры,раунда,0.444444
мальчике,парне,0.952381
записи,числе,0.166667
объявления,усилия,0.047619
опытом,музыкой,0.041667
деньгами,банками,0.625000
деньгах,операциях,0.250000
компьютера,лаборатории,0.400000
прецеденты,сборы,0.000000
автографы,подписи,0.916667
фондом,телефоном,0.060606
причины,критерия,0.125000
энергией,лабораторией,0.333333
стекол,стаканов,0.518519
опыту,музыке,0.041667
психологии,здоровья,0.363636
изображениях,поверхностях,0.238095
конкуренция,цена,0.333333
детям,матерям,0.814815
лечения,восстановления,0.619048
министру,партии,0.466667
поездка,путешествие,0.857143
наблюдению,архитектуре,0.088889
смерти,заключенного,0.041667
жизни,сроках,0.274510
прецедент,группа,0.000000
марафоне,спринте,0.809524
энергию,секретаря,0.041667
физике,химии,0.487179
практика,учреждение,0.000000
напитка,пищи,0.619048
мир,страхование,0.095238
жизни,смерти,0.521739
концерт,виртуоз,0.428571
алкоголь,химия,0.333333
улица,проспект,0.791667
кредитами,картами,0.285714
компьютера,программы,0.583333
архитектуре,веку,0.095238
погоде,прогнозу,0.487179
святой,секс,0.146667
фондом,яйцом,0.000000
энергия,секретарь,0.041667
развитию,вопросу,0.214286
планеты,астрономов,0.518519
жизни,сроки,0.274510
морепродукт,море,0.636364
милях,км,0.791667
инсульт,больница,0.500000
жизнь,смерть,0.521739
стране,гражданину,0.619048
студенту,профессору,0.619048
день,рассвет,0.444444
потребителей,энергий,0.333333
территориях,километрах,0.518519
машинах,автомобилях,0.952381
проблемам,аэропортам,0.000000
фонд,яйцо,0.000000
причина,критерий,0.125000
улицей,местом,0.444444
энергии,секретарей,0.041667
энергией,кризисом,0.083333
футболу,теннису,0.583333
деньги,депозит,0.518519
жизнию,смертью,0.521739
законов,юристов,0.523810
территорий,км,0.518519
дню,полудню,0.600000
стекол,металлов,0.500000
сеть,аппаратура,0.533333
космосе,миру,0.395833
смертей,заключенных,0.041667
прецедентов,предшественников,0.272727
деньги,богатство,0.851852
перечисление,близость,0.047619
опыт,музыка,0.041667
машине,автомобиле,0.952381
потребителем,доверием,0.250000
автомобиль,путешествие,0.333333
ситуация,изоляция,0.047619
дне,рассвете,0.444444
телефон,оборудование,0.416667
психологии,познании,0.291667
фбр,расследование,0.555556
миру,плане,0.083333
войн,войск,0.666667
прибора,приспособления,0.622222
музеев,театров,0.484848
психология,клиника,0.458333
мальчик,петушок,0.125000
профессоров,огурцы,0.047619
компьютером,программой,0.583333
прецеденте,праве,0.533333
атмосферы,пейзажа,0.166667
возможности,девушки,0.105263
веков,гг,0.666667
жизнью,смертью,0.521739
планетой,космосом,0.583333
века,годы,0.666667
теннис,ракетка,0.700000
возможность,девушка,0.105263
ситуации,изоляции,0.047619
мудрец,волшебник,0.388889
возможностей,девушек,0.105263
улицы,кварталы,0.666667
космос,мир,0.395833
марса,ученого,0.358974
полдень,веревка,0.000000
приютов,фруктов,0.000000
психологии,тревоги,0.333333
энергий,лабораторий,0.333333
приюта,монаха,0.200000
вод,утечек,0.380952
автограф,подпись,0.916667
телефонов,сообщений,0.518519
денег,депозитов,0.518519
курган,берег,0.185185
жидкостями,водами,0.904762
игрой,поражением,0.472222
оборудование,производитель,0.179487
напиток,мать,0.000000
ул.,проспекту,0.791667
фондов,рынков,0.333333
открытием,космосом,0.259259
лето,засуха,0.333333
убийством,кровопролитием,0.791667
улицам,местам,0.444444
энергий,кризисов,0.083333
деньги,валюта,0.777778
игре,команде,0.428571
века,нации,0.088889
стекло,стакан,0.518519
мужчины,женщины,0.571429
парня,волшебника,0.100000
юристами,доказательствами,0.500000
психология,страх,0.375000
автомобилем,машиной,0.958333
машины,поездки,0.509804
телефонами,сообщениями,0.518519
телефоне,сообщении,0.518519
нефтью,фондом,0.160494
улице,месте,0.444444
стеклами,металлами,0.500000
чашки,посуды,0.761905
холме,кургане,0.733333
деньгах,долларах,0.636364
прецеденте,познании,0.466667
развитие,вопрос,0.214286
физика,протон,0.479167
прецеденту,познанию,0.466667
автомобилями,валиками,0.041667
ориентиру,индексу,0.041667
опера,выступление,0.238095
брата,монаха,0.490196
стеклу,стакану,0.518519
фонды,рынки,0.333333
иерусалиму,израилю,0.622222
психология,здоровье,0.363636
изображения,поверхности,0.238095
марс,ученый,0.358974
объявление,производство,0.047619
вода,утечка,0.380952
крепостной,раб,0.814815
денег,операций,0.250000
сахара,подхода,0.000000
самолету,машине,0.380952
прецедента,информации,0.186275
святого,секса,0.146667
ребенке,матери,0.814815
производства,похода,0.000000
долларами,потерями,0.166667
еды,приготовления,0.488889
записью,числом,0.166667
берег,путешествие,0.250000
чашкам,веществам,0.095238
деревьям,лесам,0.714286
фонды,телефоны,0.060606
кино,звезда,0.242424
ситуаций,заключений,0.212121
чемпионатов,турниров,0.888889
новостью,сообщением,0.666667
семье,планированию,0.277778
проблемами,вызовами,0.375000
прецедент,сбор,0.000000
игре,победе,0.541667
холм,курган,0.733333
побережью,лесу,0.300000
век,год,0.666667
отчета,выгоды,0.166667
наркотиков,злоупотреблений,0.533333
игрой,раундом,0.444444
законам,юристам,0.523810
аккорд,улыбка,0.087719
птицы,петухи,0.714286
фрукт,печь,0.083333
улицы,проспекты,0.791667
автомобили,путешествия,0.333333
книгу,бумагу,0.555556
жизни,урока,0.256410
министры,партии,0.466667
инвалидности,смерти,0.458333
брату,монаху,0.490196
направлении,сочетании,0.125000
телевидении,фильме,0.555556
производство,поход,0.000000
стекла,стакана,0.518519
оперы,выступления,0.238095
причины,критерии,0.125000
арафата,мира,0.076923
игре,раунде,0.444444
умник,глупец,0.366667
смерти,заключенные,0.041667
практиках,учреждениях,0.000000
территориями,км,0.518519
развертывание,отход,0.041667
компании,фонда,0.625000
планеты,астрономы,0.518519
долларам,потерям,0.166667
правительства,кризиса,0.208333
планете,созвездии,0.416667
ребенок,мать,0.814815
производства,экипажи,0.047619
сети,аппаратуры,0.533333
валютой,рынком,0.333333
мира,плана,0.083333
попытки,мира,0.000000
доктора,ответственности,0.291667
едой,фруктом,0.666667
нефти,фонда,0.160494
конкуренции,цены,0.333333
приютов,монахов,0.200000
космосом,миром,0.395833
автомобиле,машине,0.958333
книге,библиотеке,0.666667
фонд,телефон,0.060606
прецедент,информация,0.186275
напиток,ухо,0.041667
камень,драгоценность,0.625000
студентами,профессорами,0.619048
банков,денег,0.636364
фондах,рынках,0.333333
чашки,вещества,0.095238
линия,страхование,0.000000
деньгам,банкам,0.625000
мире,атмосфере,0.166667
автографы,берега,0.000000
начала,матчи,0.242424
шанса,доверия,0.238095
жизни,уроки,0.256410
психологии,страха,0.375000
психология,познание,0.291667
опыте,музыке,0.041667
запасов,жизней,0.074074
фонд,сd,0.000000
компьютеру,программе,0.583333
морали,брака,0.250000
территорий,поверхностей,0.266667
алюминий,металл,0.761905
космосе,мире,0.395833
психология,фрейд,0.583333
игрой,серией,0.222222
побережью,берегу,0.904762
арафату,джексону,0.000000
территориях,поверхностях,0.266667
долларов,потерь,0.166667
японцами,американцами,0.377778
иерусалима,израиля,0.622222
компаниях,фондах,0.625000
фондом,рынком,0.333333
дня,рассвета,0.444444
потребители,энергии,0.333333
бое,поражении,0.375000
книгой,библиотекой,0.666667
телевидения,фильма,0.555556
ребенку,матери,0.814815
инвесторов,заработки,0.363636
новости,сообщения,0.666667
напитка,уха,0.041667
деньгам,операциям,0.250000
доктор,персонал,0.555556
объявление,усилие,0.047619
психология,наука,0.625000
поездок,машин,0.541667
парню,мастеру,0.190476
журавль,петушок,0.571429
чашки,предмета,0.428571
футбол,мини-футбол,0.833333
энергии,кризисы,0.083333
развертывание,вывод,0.041667
игре,поражении,0.472222
расположением,размещением,0.916667
среда,экология,0.444444
убийство,кровопролитие,0.791667
страны,гражданина,0.619048
стеклу,металлу,0.500000
беспристрастностью,интересом,0.250000
психологии,клинике,0.458333
тигра,фауну,0.619048
напитки,матерей,0.000000
цели,жизни,0.266667
птица,петух,0.714286
фрукты,печи,0.083333
марадона,футбол,0.604167
воде,утечке,0.380952
прибыль,убыток,0.511111
автомобиля,машины,0.958333
миры,атмосферы,0.166667
типа,вида,0.851852
кургане,берегу,0.185185
компьютер,интернет,0.555556
психологией,тревогой,0.333333
чашка,артефакт,0.095238
полудня,веревки,0.000000
бедствий,площадей,0.047619
игрой,победой,0.541667
фруктов,печей,0.083333
юристов,доказательства,0.500000
холма,кургана,0.733333
губернатора,офиса,0.212121
фонду,рынку,0.333333
приборы,приспособления,0.622222
приют,дурдом,0.238095
поездки,путешествия,0.857143
