word1,word2,sim
словом,стр.,0.215
г,г-на,0.438
юбилеев,гг.,0.269
проваливать,обескураживать,0.06899999999999999
плоху,великолепное,0.0
парни,това-рищи,0.477
красивше,прекрасней,0.9380000000000001
госпожу,г-на,0.438
г-жа,г-н,0.438
парня,тов.,0.477
комфорта,травмобезопасности,0.631
ул.,переулку,0.5690000000000001
ул.,автомобилю,0.062
задолжать,одалживать,0.508
ул.,переулке,0.5690000000000001
подтверждающих,обосновываемых,0.538
ущелие,долина,0.28500000000000003
ул.,автомобиле,0.062
медбратьям,ученым,0.2
хочете,выбираете,0.11499999999999999
входить,задолжать,0.008
соглашаемся,отказываем,0.0
потруднее,попроще,0.0
потруднее,проще,0.0
автомобилях,гудках,0.185
занимаешь,хочешь,0.038
брата,чел.,0.154
обручаться,жениться,0.6769999999999999
чел.,победителя,0.046
держишь,занимаешь,0.331
животных,чел.,0.254
собираетесь,встречаетесь,0.708
занимаешь,хошь,0.038
чел.,охранников,0.231
назначающих,избираемых,0.28500000000000003
получающих,назначающих,0.023
чел.,охранника,0.231
чел.,победителей,0.046
ребячливый,безрассудный,0.508
животного,чел.,0.254
постели,одеялу,0.33799999999999997
понимай,прощай,0.5690000000000001
берущейся,получаемой,0.40800000000000003
овцами,скотами,0.608
прореха,соглашение,0.0
убивало,душило,0.708
требующим,запрашиваемым,0.615
преуспевали,проваливали,0.0
убивал,душило,0.708
вкладывающего,соединяющего,0.192
счастие,умиротворенность,0.615
держите,занимаете,0.331
забирающих,оставляющих,0.008
защищаем,отстаиваем,0.885
мясе,бутерброде,0.20800000000000002
пактами,условиями,0.346
начинающий,прекращающаяся,0.0
покладистых,гибких,0.4
таксомотор,автобус,0.515
прояснять,объяснять,0.8310000000000001
скромных,покладистых,0.246
ортодонт,дантист,0.6849999999999999
такси,таксомотор,0.638
врач,ортодонт,0.385
официальной,приличному,0.231
позволяющие,разрешаемые,0.9380000000000001
деревьями,кленами,0.523
воруй,покупай,0.0
дубами,кленами,0.292
сотрудничаю,участвую,0.369
проигрывать,проваливать,0.392
преуспевать,проваливать,0.0
приветствующие,встречающие,0.7150000000000001
начинаю,прекращаю,0.0
самоуверенное,уверенное,0.738
дождь,изморось,0.731
решайте,выбирайте,0.6769999999999999
убеждена,бесспорен,0.592
убеждён,бесспорен,0.592
выигрывающих,доминирующих,0.738
даем,вкладываем,0.546
убежден,бесспорен,0.592
занимать,нищенствовать,0.262
мать,опекунша,0.385
соглашаемся,спорим,0.015
предполагаемого,предсказывающего,0.662
экзотичный,редкий,0.746
брать,завладевать,0.6849999999999999
задачей,пустяком,0.046
лелеяли,хранили,0.377
нервам,мозгам,0.28500000000000003
кистям,пальцам,0.323
шляпкой,гвоздем,0.08499999999999999
счастливой,радостному,0.8460000000000001
отодвигался,отвергал,0.446
дышал,задыхался,0.262
отодвигался,отвергала,0.446
побеждало,завершала,0.046
достигали,преуспевали,0.738
трава,травинка,0.8310000000000001
преуспевали,пытались,0.177
побеждало,завершал,0.046
начинай,иди,0.046
траву,травинку,0.8310000000000001
дышала,задыхался,0.262
хлебом,мукою,0.515
тоскливый,скучный,0.8619999999999999
отодвигался,отвергался,0.446
сохранявшее,защищавший,0.6849999999999999
побеждало,доминировал,0.523
побеждало,доминировала,0.523
медбратья,ученые,0.2
медбратья,учёные,0.2
хлебах,муках,0.515
убивают,вешаются,0.3
кладут,вешаются,0.1
принимающий,признаваемую,0.708
конь,жеребенок,0.623
поглощают,имут,0.192
общаюсь,молюсь,0.238
признается,уведомляется,0.354
автомобилем,гудком,0.185
заслуживать,зарабатывать,0.446
слякоти,грязи,0.7849999999999999
автомобиль,подъемник,0.20800000000000002
признаёт,уведомляется,0.354
груженый,тяжелый,0.638
представителях,адвокатах,0.615
признает,уведомляется,0.354
компетенциям,способностям,0.2425
заслуживающие,зарабатывающие,0.446
отодвигать,отвергать,0.446
игра,веселие,0.523
возьмут,украдут,0.269
подбадривать,отговаривать,0.038
кровать,кроватка,0.9
кроватка,колыбель,0.769
проваливает,обескураживает,0.06899999999999999
рождала,носила,0.369
рождала,носил,0.369
поговорит,услышит,0.008
кабинка,будка,0.754
лелеять,хранить,0.377
хитрое,умная,0.33799999999999997
исследуем,изучаем,0.869
жаловалась,ругалась,0.354
достигающие,преуспевающие,0.738
жаловался,ругалась,0.354
честного,виноватого,0.0
читало,понимало,0.031
читало,понимала,0.031
плохое,виноватого,0.162
плохого,виноватого,0.162
честной,виноватого,0.0
читало,понимался,0.031
давать,одалживать,0.6849999999999999
пропадало,исчезал,0.931
пропадало,исчезала,0.931
читало,понимал,0.031
убиваем,защищаем,0.154
игре,сноровке,0.054000000000000006
честный,виноватый,0.0
плохой,виноватый,0.162
скромный,покладистый,0.246
берем,несем,0.1
приобретал,покупало,0.8460000000000001
досада,злость,0.5690000000000001
покладистый,гибкий,0.4
требуемый,запрашиваемая,0.615
остаемся,сохраняем,0.308
лодыжка,окно,0.0
воровал,покупало,0.0
требующий,запрашиваемая,0.615
требующее,запрашиваемая,0.615
локоть,лодыжка,0.06899999999999999
прорехи,соглашения,0.0
требующая,запрашиваемая,0.615
кость,лодыжка,0.20800000000000002
напоминающей,продающего,0.015
идем,входим,0.41500000000000004
уже,пошире,0.0
карниз,занавеска,0.231
идем,позволяем,0.008
игра,сноровка,0.054000000000000006
заслуживало,зарабатывал,0.446
больше,пошире,0.331
соединяющего,добавляемого,0.462
добавляемого,строящейся,0.077
дышали,задыхались,0.262
счастливых,довольных,0.808
костьми,локтями,0.154
костьми,коленями,0.269
руками,костьми,0.162
ранимый,бесстрастный,0.015
костьми,шеями,0.215
самоуверенная,уверенное,0.738
костьми,зубами,0.20800000000000002
задачами,автострадами,0.031
красотами,возрастами,0.28500000000000003
автомобилями,автострадами,0.123
медбрат,ученый,0.2
народу,ружью,0.008
тупое,дурацкое,0.754
убивало,уничтожал,0.792
убивало,вешал,0.3
убивало,защищал,0.154
ружью,пушке,0.33799999999999997
задача,пустяк,0.046
убивало,защищала,0.154
убивало,защищало,0.154
думающие,решающие,0.608
думающие,решаемые,0.608
дерзок,горд,0.08499999999999999
величайшее,огромнейший,0.915
