word1,word2,sim
мужчина,муж,0.562
формуле,журнале,0.008
мнений,впечатлений,0.523
плохие,виноватых,0.162
давал,занимала,0.631
миром,землей,0.585
убивал,защищал,0.154
молекулы,атома,0.385
гонорар,зарплата,0.877
странствовать,бродить,0.8150000000000001
механизм,двигатель,0.508
автомобиль,мост,0.11499999999999999
выносливость,сила,0.438
хлеба,муки,0.515
напоминает,забывает,0.277
счастливым,молодым,0.046
ужина,завтрака,0.031
окнами,дверьми,0.015
свитер,пиджак,0.154
создателю,изготовителю,0.9460000000000001
аргументировал,подтверждало,0.546
руки,колена,0.046
посылается,получается,0.015
покидал,оставалось,0.008
пляжей,рифов,0.13799999999999998
создатели,изготовители,0.9460000000000001
думала,решало,0.608
теряем,сохраняем,0.0
островом,задачей,0.015
мужчины,мужи,0.562
руке,плече,0.2
размеров,величин,0.8150000000000001
биографии,романе,0.292
код,символ,0.608
напоминала,забывал,0.277
женщине,мужчине,0.0
отце,брате,0.06899999999999999
новом,свежей,0.7769999999999999
населения,народа,0.8619999999999999
идет,приходит,0.646
дыры,жен,0.015
народы,шары,0.008
ребенком,взрослым,0.0
собака,лошадь,0.062
священника,монаха,0.738
битве,завоевании,0.40800000000000003
держит,дает,0.031
проваливать,обескураживать,0.06899999999999999
дверях,подвалах,0.038
забывает,узнает,0.0
умоляют,просят,0.808
трудной,простого,0.0
собаки,лошади,0.062
решающего,важного,0.708
корню,траве,0.292
широкой,узкой,0.0
квартира,мебель,0.16899999999999998
победителях,кандидатах,0.192
налогами,доходами,0.223
настроя,уверенности,0.46900000000000003
локоть,лодыжка,0.06899999999999999
объединялись,приобретали,0.2
вину,спиртному,0.646
книгой,ст,0.392
скромных,покладистых,0.246
одежды,ткани,0.2925
биографии,роману,0.292
пакта,соглашения,0.8539999999999999
заменять,восстанавливать,0.238
представлял,решало,0.038
электоратом,партией,0.20800000000000002
верование,мнение,0.131
объявляется,провозглашается,0.8460000000000001
сыновей,отцов,0.146
пляжей,островов,0.446
рука,шея,0.062
двери,проемы,0.492
покидал,шло,0.2
складывают,делят,0.015
прекрасного,ужасную,0.0
получающих,назначающих,0.023
победителя,присутствия,0.046
достигающие,преуспевающие,0.738
мальчиком,братом,0.254
изучал,оценивал,0.315
писателя,читателя,0.192
печально,смешно,0.0
армий,отрядов,0.377
пытались,думали,0.038
идей,планов,0.654
идёт,входит,0.41500000000000004
ружья,ножа,0.123
риса,мальчика,0.008
преступлениям,нарушениям,0.623
десятилетии,веке,0.20800000000000002
идут,посылают,0.10800000000000001
берёт,доставляется,0.11499999999999999
напоминавший,продававшийся,0.015
тратило,копил,0.0
колледжами,профессиями,0.262
медбрат,ученый,0.2
доказательства,факты,0.662
кладут,вешаются,0.1
дети,взрослые,0.0
стен,кирпичей,0.192
достигается,остается,0.308
пчела,матка,0.277
теряет,получается,0.008
просят,умоляют,0.8
младенцу,дочери,0.46900000000000003
платформе,контейнере,0.054000000000000006
тяжелые,легкие,0.0
думали,обосновывали,0.5
решается,выбирается,0.6769999999999999
крышами,потолками,0.277
банок,бутылок,0.323
забывать,помнить,0.008
другом,приятелем,0.931
поговорил,услышала,0.008
силе,мощи,0.7769999999999999
слушаются,подчиняются,0.6849999999999999
дочь,ребенок,0.769
