word1,word2,sim
лошадь,кобыла,1.0
учитель,преподаватель,0.992
фильм,кинолента,0.992
учащийся,ученик,0.985
рубеж,граница,0.977
опасность,угроза,0.969
победа,триумф,0.962
ограда,забор,0.954
информировать,сообщать,0.9460000000000001
крупный,большой,0.9460000000000001
недорогой,дешевый,0.9460000000000001
отец,родитель,0.9460000000000001
случаться,происходить,0.9460000000000001
советовать,рекомендовать,0.9460000000000001
создатель,изготовитель,0.9460000000000001
красивый,прекрасный,0.9380000000000001
позволять,разрешать,0.9380000000000001
прекрасный,великолепный,0.9380000000000001
сумочка,сумка,0.9380000000000001
чемпион,победитель,0.9380000000000001
безумный,сумасшедший,0.931
друг,приятель,0.931
мотель,гостиница,0.931
пропадать,исчезать,0.931
автор,создатель,0.923
предприятие,компания,0.923
симулировать,притворяться,0.923
большой,огромный,0.915
быстрый,скоростной,0.915
размышлять,думать,0.915
скорый,скоростной,0.915
агрессивность,враждебность,0.908
восхитительный,прекрасный,0.908
область,регион,0.908
соперник,противник,0.908
кровать,кроватка,0.9
мотор,двигатель,0.892
странный,необычный,0.892
задание,задача,0.885
защищать,отстаивать,0.885
злость,ярость,0.885
обнаруживать,находить,0.885
общение,беседа,0.885
аргументировать,обосновывать,0.877
гонорар,зарплата,0.877
музыка,мелодия,0.877
дискуссия,спор,0.869
изобилие,множество,0.869
исследовать,изучать,0.869
руководство,управление,0.869
глава,руководитель,0.8619999999999999
население,народ,0.8619999999999999
плохой,ужасный,0.8619999999999999
тоскливый,скучный,0.8619999999999999
тяжелый,трудный,0.8619999999999999
буря,ураган,0.8539999999999999
выбирать,избирать,0.8539999999999999
пакт,соглашение,0.8539999999999999
полицейский,шериф,0.8539999999999999
тупой,глупый,0.8539999999999999
чудный,странный,0.8539999999999999
объявлять,провозглашать,0.8460000000000001
приобретать,покупать,0.8460000000000001
счастливый,радостный,0.8460000000000001
уменьшаться,сжиматься,0.8460000000000001
домик,хижина,0.8380000000000001
зверь,животное,0.8380000000000001
автотранспорт,автобус,0.8310000000000001
корпорация,предприятие,0.8310000000000001
прояснять,объяснять,0.8310000000000001
путешествие,поездка,0.8310000000000001
создавать,делать,0.8310000000000001
сообразительный,интеллектуальный,0.8310000000000001
тарелка,миска,0.8310000000000001
трава,травинка,0.8310000000000001
мудрость,ум,0.8230000000000001
объяснять,доказывать,0.8230000000000001
неотъемлемый,необходимый,0.8150000000000001
привычка,манера,0.8150000000000001
размер,величина,0.8150000000000001
странствовать,бродить,0.8150000000000001
трапеза,ужин,0.8150000000000001
деньги,капитал,0.808
корова,скот,0.808
область,зона,0.808
прибывать,приходить,0.808
расширяться,расти,0.808
счастливый,довольный,0.808
умолять,просить,0.808
чета,пара,0.808
гонорар,платеж,0.8
кровать,кушетка,0.8
просить,умолять,0.8
анализировать,оценивать,0.792
грохот,шум,0.792
провод,шнур,0.792
убивать,уничтожать,0.792
эластичный,гибкий,0.792
конечность,нога,0.7849999999999999
приходить,посещать,0.7849999999999999
слякоть,грязь,0.7849999999999999
брюшко,живот,0.7769999999999999
игнорировать,избегать,0.7769999999999999
морось,дождь,0.7769999999999999
нетерпеливый,беспокойный,0.7769999999999999
новый,свежий,0.7769999999999999
сила,мощь,0.7769999999999999
счастие,удача,0.7769999999999999
твердый,прочный,0.7769999999999999
дочь,ребенок,0.769
кроватка,колыбель,0.769
почка,орган,0.769
берег,побережье,0.762
видение,восприятие,0.762
стиль,мода,0.762
устраивать,организовывать,0.762
шум,грохот,0.762
проход,коридор,0.7616666666666669
анархия,хаос,0.754
деньги,зарплата,0.754
имитировать,изображать,0.754
кабинка,будка,0.754
край,конец,0.754
одежда,пальто,0.754
рак,болезнь,0.754
тупой,дурацкий,0.754
болезнь,инфекция,0.75
политик,президент,0.746
экзотичный,редкий,0.746
яростный,злой,0.746
выигрывать,доминировать,0.738
достигать,преуспевать,0.738
коттедж,домик,0.738
настроение,эмоция,0.738
необходимый,важный,0.738
раввин,священник,0.738
самоуверенный,уверенный,0.738
священник,монах,0.738
дождь,изморось,0.731
спорить,убеждать,0.731
табак,сигарета,0.731
вечер,сумерки,0.7230000000000001
провозглашать,объявлять,0.7230000000000001
ужин,трапеза,0.7230000000000001
орава,толпа,0.7150000000000001
приветствовать,встречать,0.7150000000000001
убежище,хижина,0.7150000000000001
приобретать,получать,0.7115
внимание,интерес,0.708
глава,мэр,0.708
действие,движение,0.708
принимать,признавать,0.708
решающий,важный,0.708
собираться,встречаться,0.708
убивать,душить,0.708
простой,легкий,0.7
слушать,слышать,0.7
формула,уравнение,0.7
дом,квартира,0.692
задача,работа,0.692
создавать,строить,0.692
армия,легион,0.6849999999999999
брать,завладевать,0.6849999999999999
давать,одалживать,0.6849999999999999
ортодонт,дантист,0.6849999999999999
праздник,церемония,0.6849999999999999
слушаться,подчиняться,0.6849999999999999
сохранять,защищать,0.6849999999999999
чувство,интуиция,0.6849999999999999
чудовище,демон,0.6849999999999999
авиация,полет,0.6769999999999999
алкоголь,бренди,0.6769999999999999
заметный,очевидный,0.6769999999999999
недавний,новый,0.6769999999999999
обручаться,жениться,0.6769999999999999
понимать,знать,0.6769999999999999
решать,выбирать,0.6769999999999999
сосуд,вена,0.6769999999999999
удовлетворять,угождать,0.6769999999999999
факт,суть,0.6769999999999999
клуб,общество,0.669
наслаждаться,развлекаться,0.669
бумага,картон,0.662
водитель,пилот,0.662
добывать,зарабатывать,0.662
доказательство,факт,0.662
достигать,завершать,0.662
злак,пшеница,0.662
коммуникация,телевидение,0.662
нести,приносить,0.662
пляж,побережье,0.662
предполагать,предсказывать,0.662
юбилей,дата,0.662
бревно,древесина,0.654
героиня,герой,0.654
идея,план,0.654
стейк,мясо,0.654
алкоголь,вино,0.646
вино,спиртное,0.646
идти,приходить,0.646
насекомое,пчела,0.646
участвовать,присоединяться,0.646
элегантность,стиль,0.646
алкоголь,джин,0.638
баллада,песня,0.638
груженый,тяжелый,0.638
делать,строить,0.638
сотрудничать,объединяться,0.638
такси,таксомотор,0.638
толпа,группа,0.638
алкоголь,виски,0.631
давать,занимать,0.631
жар,болезнь,0.631
комфорт,безопасность,0.631
отражение,образ,0.631
пиво,алкоголь,0.631
твердый,плотный,0.631
цветок,фиалка,0.631
эксцентричный,странный,0.631
конь,жеребенок,0.623
пол,палуба,0.623
преступление,нарушение,0.623
река,поток,0.623
авария,бедствие,0.615
овца,ягненок,0.615
представитель,адвокат,0.615
счастие,умиротворенность,0.615
требовать,запрашивать,0.615
ум,проницательность,0.615
хранить,защищать,0.615
думать,решать,0.608
код,символ,0.608
овца,скот,0.608
архиепископ,епископ,0.6
изучать,обнаруживать,0.6
книга,литература,0.6
мясо,бекон,0.6
помощница,служанка,0.6
притворяться,изображать,0.6
уверенность,самость,0.6
дерево,бревно,0.592
мужчина,воин,0.592
ненормальный,необычный,0.592
обстоятельство,ситуация,0.592
убежденный,бесспорный,0.592
марихуана,трава,0.585
мир,земля,0.585
отвергать,избегать,0.585
плохой,безнравственный,0.585
побеждать,преуспевать,0.585
девочка,дева,0.577
море,океан,0.577
обсуждать,объяснять,0.577
виски,джин,0.5690000000000001
досада,злость,0.5690000000000001
идея,образ,0.5690000000000001
понимать,прощать,0.5690000000000001
преступление,мошенничество,0.5690000000000001
самолет,джет,0.5690000000000001
словарь,толкование,0.5690000000000001
стекло,хрусталь,0.5690000000000001
улица,переулок,0.5690000000000001
актер,певец,0.562
коллекционировать,сохранять,0.562
мальчик,ребенок,0.562
мужчина,муж,0.562
библия,псалом,0.554
газета,информация,0.554
прощать,забывать,0.554
аргументировать,подтверждать,0.546
давать,вкладывать,0.546
забывать,игнорировать,0.546
закат,вечер,0.546
посещать,прибывать,0.546
просить,молиться,0.546
птица,курица,0.546
угождать,развлекать,0.546
вежливый,приличный,0.538
взрослый,опекун,0.538
подтверждать,обосновывать,0.538
ребенок,мальчик,0.538
сравнивать,анализировать,0.538
теленок,бык,0.538
алкоголь,коктейль,0.5309999999999999
книга,текст,0.5309999999999999
книга,информация,0.5309999999999999
определять,предсказывать,0.5309999999999999
осматривать,изучать,0.5309999999999999
смерть,погребение,0.5309999999999999
трубка,сигара,0.5309999999999999
хранить,владеть,0.5309999999999999
восхитительный,радостный,0.523
дерево,клен,0.523
добиваться,убеждать,0.523
игра,веселие,0.523
известие,газета,0.523
кисть,запястье,0.523
книга,библия,0.523
мнение,впечатление,0.523
побеждать,доминировать,0.523
предприятие,промышленность,0.523
птица,ястреб,0.523
скот,бык,0.523
терапевт,врач,0.523
осознавать,обнаруживать,0.515
приобретать,находить,0.515
таксомотор,автобус,0.515
хлеб,мука,0.515
задолжать,одалживать,0.508
комната,камера,0.508
механизм,двигатель,0.508
мужчина,отец,0.508
принимать,прощать,0.508
принц,король,0.508
ребячливый,безрассудный,0.508
стакан,рожок,0.508
думать,обосновывать,0.5
опасность,болезнь,0.5
преступление,кража,0.5
ритм,мелодия,0.5
слушать,подчиняться,0.5
трава,мох,0.5
дверь,проем,0.492
отец,бог,0.492
право,правосудие,0.492
предубеждение,мнение,0.492
притворяться,казаться,0.492
происшествие,авария,0.492
ладить,угождать,0.485
метр,ярд,0.485
олово,металл,0.485
скудный,редкий,0.485
сплетня,новость,0.485
группа,оркестр,0.477
истерика,помрачение,0.477
кузен,дядя,0.477
парень,товарищ,0.477
появляться,посещать,0.477
приятель,спутник,0.477
смерть,трагедия,0.477
толпа,парад,0.477
девочка,ребенок,0.46900000000000003
изгиб,угол,0.46900000000000003
младенец,дочь,0.46900000000000003
наставник,раввин,0.46900000000000003
настрой,уверенность,0.46900000000000003
верование,представление,0.462
вино,бренди,0.462
женщина,жена,0.462
игра,действие,0.462
луна,планета,0.462
металл,алюминий,0.462
соединять,добавлять,0.462
выход,проход,0.454
композитор,писатель,0.454
дата,календарь,0.446
доктор,профессор,0.446
дружелюбный,великодушный,0.446
заслуживать,зарабатывать,0.446
кот,питомец,0.446
отодвигать,отвергать,0.446
пляж,остров,0.446
работа,управление,0.446
скрипка,инструмент,0.446
анатомия,биология,0.438
выносливость,сила,0.438
госпожа,господин,0.438
логика,арифметика,0.438
мужчина,дядя,0.438
понимать,слушать,0.438
усилие,трудность,0.438
флот,армия,0.438
интеллект,логика,0.43099999999999994
объединяться,жениться,0.43099999999999994
рот,губа,0.43099999999999994
эпоха,десятилетие,0.43099999999999994
говорить,признавать,0.42300000000000004
продаваться,продавать,0.42300000000000004
автомобиль,такси,0.41500000000000004
гора,выступ,0.41500000000000004
идти,входить,0.41500000000000004
битва,завоевание,0.40800000000000003
бог,дух,0.40800000000000003
брать,получать,0.40800000000000003
деньги,бриллиант,0.40800000000000003
начинать,происходить,0.40800000000000003
птица,индейка,0.40800000000000003
